Property Type,Property Use,Land Use,Beds,Baths,Rooms Count,Units Count,Stories,Building Size (sqft),Lot Size (sqft),Year Built,Years Owned,Pool,Pool Area,Garage,Basement,Deck,Deck Area,Patio,Patio Area,Air Conditioning,Roof Construction,Roof Material,Estimated Value,Assessed Value,Assessed Land Value,Assessed Improvement Value,Price Per Sqft,Last Sale Date,Last Sale Amount,Last Sale Arms Length,Prior Sale Amount,Recording Date,Document Type,Last Update Date,Cash Buyer,Investor Buyer,Flood Zone
SFR,Single Family Residence,Residential,3.0,3.0,7,0,2.5,1916.0,1238,2017.0,7.0,No,0,No,No,No,0,No,0,No,,,1154541,1154541,346362,808179,540,2017-12-05,1035000,Yes,305454.0,2017-12-05,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,5,0,1.0,957.0,5450,1940.0,24.0,No,0,No,No,No,0,No,0,No,,,506000,273280,81984,191296,0,2000-10-16,0,No,185000.0,2000-10-16,Intrafamily Transfer,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,5,0,1.0,1737.0,3696,1927.0,12.0,No,0,No,No,No,0,No,0,No,,,749000,61534,34613,26921,0,2013-06-26,0,No,0.0,2013-06-26,Affidavit Of Death,2025-07-23 00:00:00 UTC,Yes,No,Yes
SFR,Single Family Residence,Residential,3.0,1.0,6,0,1.0,1427.0,5074,1951.0,20.0,No,0,No,No,No,0,No,0,No,,,1173000,930558,279167,651391,477,2004-11-02,681000,Yes,0.0,2004-11-02,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,3.0,2.0,5,0,,1175.0,5450,1928.0,4.0,No,0,No,No,No,0,No,0,No,,,487000,104861,20596,84265,0,2021-01-08,0,No,0.0,2021-01-08,Intrafamily Transfer,2025-07-23 00:00:00 UTC,No,Yes,Yes
SFR,Single Family Residence,Residential,3.0,1.0,6,0,1.0,1034.0,4800,1921.0,4.0,No,0,No,No,No,0,No,0,No,,,583660,583660,175098,408562,532,2021-01-28,550000,Yes,0.0,2021-01-28,Grant Deed,2025-07-16 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,3.0,2.0,6,0,1.0,2162.0,6486,1960.0,3.0,No,0,No,No,No,0,No,0,No,,,1253000,999947,298277,701670,0,2021-09-29,0,No,0.0,2021-09-29,Intrafamily Transfer,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,6,0,1.0,1032.0,4056,1943.0,0.0,No,0,No,No,No,0,No,0,No,,,475000,125229,37556,87673,0,2024-10-15,0,No,102000.0,2024-10-15,Intrafamily Transfer,2025-07-23 00:00:00 UTC,Yes,Yes,Yes
SFR,Single Family Residence,Residential,3.0,1.0,6,0,1.0,1418.0,4900,1906.0,5.0,No,0,No,No,No,0,No,0,No,,,847000,403977,121193,282784,0,2019-08-19,0,No,320000.0,2019-08-19,Intrafamily Transfer,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,4.0,3.0,10,0,2.0,3365.0,6565,2015.0,10.0,No,0,No,No,No,0,No,0,No,,,2444868,2444868,733460,1711408,617,2015-03-31,2075000,No,2075000.0,2015-06-25,Correction Deed,2025-07-23 00:00:00 UTC,No,No,Yes
